,Name,Class,Rarity,Slot,Type,PVE Rating,PVP Rating,Link,Image
0,Edge of Action,Titan,Exotic,Energy,Glaive,3.8,2.3,https://www.light.gg/db/items/2535142413,https://www.bungie.net/common/destiny2_content/icons/add494c1e1fbdb062b7f6dc4c179c35b.jpg
1,Edge of Concurrence,Hunter,Exotic,Energy,Glaive,2,1.5,https://www.light.gg/db/items/542203595,https://www.bungie.net/common/destiny2_content/icons/6301bf4e6d9d9728aaf5f9bea06c6a1a.jpg
2,Edge of Intent,Warlock,Exotic,Energy,Glaive,2.7,1.3,https://www.light.gg/db/items/14194600,https://www.bungie.net/common/destiny2_content/icons/beec2a35b2cffd3fac488e0fb8cf25a5.jpg
3,Cerberus+1,-,Exotic,Kinetic,AutoRifle,3.4,4.2,https://www.light.gg/db/items/1541131350,https://www.bungie.net/common/destiny2_content/icons/161a3f06196563345afeacb46e9df88d.jpg
4,Monte Carlo,-,Exotic,Kinetic,AutoRifle,4.8,3.8,https://www.light.gg/db/items/4068264807,https://www.bungie.net/common/destiny2_content/icons/d123aaf47eed3de479aac4492577f7e9.jpg
5,Quicksilver Storm,-,Exotic,Kinetic,AutoRifle,4.8,4.1,https://www.light.gg/db/items/4293613902,https://www.bungie.net/common/destiny2_content/icons/06ec3d22c69944f6755bf75f07cd83bd.jpg
6,SUROS Regime,-,Exotic,Kinetic,AutoRifle,3.2,4.2,https://www.light.gg/db/items/2856683562,https://www.bungie.net/common/destiny2_content/icons/42120a6f2e1f43dd7f67bedffc42d0d2.jpg
7,Sweet Business,-,Exotic,Kinetic,AutoRifle,4.5,4.4,https://www.light.gg/db/items/1345867570,https://www.bungie.net/common/destiny2_content/icons/c674b162b08bb96e7f549ceb45060b6d.jpg
8,Verglas Curve,-,Exotic,Kinetic,CombatBow,5,2.7,https://www.light.gg/db/items/3659414143,https://www.bungie.net/common/destiny2_content/icons/48e2499dca00610a3349aed19256651a.jpg
9,Wish-Ender,-,Exotic,Kinetic,CombatBow,4,3.8,https://www.light.gg/db/items/814876684,https://www.bungie.net/common/destiny2_content/icons/8e5d7a68305a0d1e53ccade9398c7e8b.jpg
10,Bastion,-,Exotic,Kinetic,FusionRifle,3,4.1,https://www.light.gg/db/items/2415517654,https://www.bungie.net/common/destiny2_content/icons/805009e0c67a2dcf4f4f7bffb2dba493.jpg
11,Witherhoard,-,Exotic,Kinetic,GrenadeLauncher,4.9,4.5,https://www.light.gg/db/items/2357297366,https://www.bungie.net/common/destiny2_content/icons/3e4fc5bcc1dea42508124e11572367d2.jpg
12,Ace of Spades,-,Exotic,Kinetic,HandCannon,4.8,4.9,https://www.light.gg/db/items/347366834,https://www.bungie.net/common/destiny2_content/icons/cdfbfd3f098329a367294f191070f8c4.jpg
13,Crimson,-,Exotic,Kinetic,HandCannon,3.5,4.4,https://www.light.gg/db/items/3437746471,https://www.bungie.net/common/destiny2_content/icons/5a7cb122bf2e8968a68cee59ef93b23d.jpg
14,Hawkmoon,-,Exotic,Kinetic,HandCannon,3.9,4.1,https://www.light.gg/db/items/3856705927,https://www.bungie.net/common/destiny2_content/icons/cef1290d58a2d94d1437e1e569fa7996.jpg
15,Lumina,-,Exotic,Kinetic,HandCannon,4.2,3.6,https://www.light.gg/db/items/3512014804,https://www.bungie.net/common/destiny2_content/icons/65735eb5048ba941145e35224014e479.jpg
16,Malfeasance,-,Exotic,Kinetic,HandCannon,4.3,3.9,https://www.light.gg/db/items/204878059,https://www.bungie.net/common/destiny2_content/icons/5564a17ddf52e36f56e7256ad9946a17.jpg
17,Sturm,-,Exotic,Kinetic,HandCannon,3.9,4.4,https://www.light.gg/db/items/2907129556,https://www.bungie.net/common/destiny2_content/icons/bb7af8675b1aed2eb4f4eb14aaec9946.jpg
18,The Last Word,-,Exotic,Kinetic,HandCannon,3.1,4.4,https://www.light.gg/db/items/1364093401,https://www.bungie.net/common/destiny2_content/icons/a10719f1f2180e473ea9a0957e3b9fe4.jpg
